label,uri
ogg,https://www.iana.org/assignments/media-types/application/ogg
opc-nodeset+xml,https://www.iana.org/assignments/media-types/application/opc-nodeset+xml
oscore,https://www.iana.org/assignments/media-types/application/oscore
oxps,https://www.iana.org/assignments/media-types/application/oxps
p2p-overlay+xml,https://www.iana.org/assignments/media-types/application/p2p-overlay+xml
parityfec,https://www.iana.org/assignments/media-types/
passport,https://www.iana.org/assignments/media-types/application/passport
patch-ops-error+xml,https://www.iana.org/assignments/media-types/application/patch-ops-error+xml
pdf,https://www.iana.org/assignments/media-types/application/pdf
PDX,https://www.iana.org/assignments/media-types/application/PDX
pem-certificate-chain,https://www.iana.org/assignments/media-types/application/pem-certificate-chain
pgp-encrypted,https://www.iana.org/assignments/media-types/application/pgp-encrypted
pgp-keys,https://www.iana.org/assignments/media-types/application/pgp-keys
pgp-signature,https://www.iana.org/assignments/media-types/application/pgp-signature
pidf-diff+xml,https://www.iana.org/assignments/media-types/application/pidf-diff+xml
pidf+xml,https://www.iana.org/assignments/media-types/application/pidf+xml
pkcs10,https://www.iana.org/assignments/media-types/application/pkcs10
pkcs7-mime,https://www.iana.org/assignments/media-types/application/pkcs7-mime
pkcs7-signature,https://www.iana.org/assignments/media-types/application/pkcs7-signature
pkcs8,https://www.iana.org/assignments/media-types/application/pkcs8
pkcs8-encrypted,https://www.iana.org/assignments/media-types/application/pkcs8-encrypted
pkcs12,https://www.iana.org/assignments/media-types/application/pkcs12
pkix-attr-cert,https://www.iana.org/assignments/media-types/application/pkix-attr-cert
pkix-cert,https://www.iana.org/assignments/media-types/application/pkix-cert
pkix-crl,https://www.iana.org/assignments/media-types/application/pkix-crl
pkix-pkipath,https://www.iana.org/assignments/media-types/application/pkix-pkipath
pkixcmp,https://www.iana.org/assignments/media-types/application/pkixcmp
pls+xml,https://www.iana.org/assignments/media-types/application/pls+xml
poc-settings+xml,https://www.iana.org/assignments/media-types/application/poc-settings+xml
postscript,https://www.iana.org/assignments/media-types/application/postscript
ppsp-tracker+json,https://www.iana.org/assignments/media-types/application/ppsp-tracker+json
problem+json,https://www.iana.org/assignments/media-types/application/problem+json
problem+xml,https://www.iana.org/assignments/media-types/application/problem+xml
provenance+xml,https://www.iana.org/assignments/media-types/application/provenance+xml
prs.alvestrand.titrax-sheet,https://www.iana.org/assignments/media-types/application/prs.alvestrand.titrax-sheet
prs.cww,https://www.iana.org/assignments/media-types/application/prs.cww
prs.cyn,https://www.iana.org/assignments/media-types/application/prs.cyn
prs.hpub+zip,https://www.iana.org/assignments/media-types/application/prs.hpub+zip
prs.nprend,https://www.iana.org/assignments/media-types/application/prs.nprend
prs.plucker,https://www.iana.org/assignments/media-types/application/prs.plucker
prs.rdf-xml-crypt,https://www.iana.org/assignments/media-types/application/prs.rdf-xml-crypt
prs.xsf+xml,https://www.iana.org/assignments/media-types/application/prs.xsf+xml
pskc+xml,https://www.iana.org/assignments/media-types/application/pskc+xml
pvd+json,https://www.iana.org/assignments/media-types/application/pvd+json
rdf+xml,https://www.iana.org/assignments/media-types/application/rdf+xml
route-apd+xml,https://www.iana.org/assignments/media-types/application/route-apd+xml
route-s-tsid+xml,https://www.iana.org/assignments/media-types/application/route-s-tsid+xml
route-usd+xml,https://www.iana.org/assignments/media-types/application/route-usd+xml
QSIG,https://www.iana.org/assignments/media-types/application/QSIG
raptorfec,https://www.iana.org/assignments/media-types/application/raptorfec
rdap+json,https://www.iana.org/assignments/media-types/application/rdap+json
reginfo+xml,https://www.iana.org/assignments/media-types/application/reginfo+xml
relax-ng-compact-syntax,https://www.iana.org/assignments/media-types/application/relax-ng-compact-syntax
remote-printing,https://www.iana.org/assignments/media-types/application/remote-printing
reputon+json,https://www.iana.org/assignments/media-types/application/reputon+json
resource-lists-diff+xml,https://www.iana.org/assignments/media-types/application/resource-lists-diff+xml
resource-lists+xml,https://www.iana.org/assignments/media-types/application/resource-lists+xml
rfc+xml,https://www.iana.org/assignments/media-types/application/rfc+xml
riscos,https://www.iana.org/assignments/media-types/application/riscos
rlmi+xml,https://www.iana.org/assignments/media-types/application/rlmi+xml
rls-services+xml,https://www.iana.org/assignments/media-types/application/rls-services+xml
